Rumah,Industri,Bisnis,Sosial,Bangunan Pemerintah,Penerangan Jalan Umum
1986.67,339.79,631.21,251.1,115.55,133.98
6187.34,3137.13,1992.01,576.89,158.68,420.8
1837.36,839.6,730.29,217.24,86.04,100.31
3665.58,3219.97,1683.34,342.45,162.67,138.15
3142.8,3180.6,1358.5,296.71,119.24,114.71
522.77,39.37,324.84,45.74,43.43,23.45
5801.19,1375.9,1789.46,430.2,210.4,198.49
3494.16,1110.18,1140.58,262.06,123.84,147.68
1501.59,182.49,473.9,116.75,54.12,42.33
805.45,83.24,174.98,51.39,32.44,8.48
820.81,431.14,249.42,61.27,38.18,9.99
3239.05,1194.64,854.76,267.07,76.91,129.48
2054.9,266.91,692.01,159.76,87.34,47.67
3035.63,939.91,1032.43,267.97,160.03,88.98
1950.32,747.47,662.18,176.53,92.01,65.37
1085.32,192.44,370.25,91.44,68.02,23.61
2723.69,616.36,1233.09,244.96,196.61,52.2
2517.65,631.1,823.05,228.97,157.77,81.98
1010.27,417.45,468.94,105.61,54.44,38.67
1059.72,121.86,242.85,83.53,62.58,32.38
447.65,91.79,111.26,39.83,40.75,10.93
4722.79,3138.99,1689.34,462.61,246.2,159.39
3524.89,3008.86,1352.63,370.64,170.71,130.31
861.59,83.06,261.49,63.77,51.47,21.56
336.31,47.08,75.22,28.19,24.02,7.52
875.04,297.55,291.1,75.0,94.88,18.52
367.39,12.08,155.26,38.53,52.49,7.82
507.65,285.47,135.84,36.47,42.39,10.7
1187.92,24.23,503.1,126.67,149.81,18.65
794.03,11.83,339.33,85.5,99.3,12.4
393.89,12.4,163.77,41.16,50.51,6.25
2738.18,207.62,3033.84,210.03,101.77,63.09
1608.71,238.93,492.64,125.64,51.72,54.96
808.83,43.19,316.24,92.72,54.13,18.15
1001.2,963.06,1097.16,90.17,44.81,13.39
16004.06,17166.79,5932.68,1716.78,475.59,590.4
15548.24,8677.19,5064.91,1746.51,405.14,553.99
13620.27,8408.15,4170.67,1418.82,324.66,489.18
1927.97,269.05,894.24,327.69,80.48,64.81
21854.79,25026.44,9013.71,1679.84,560.75,428.79
6475.33,15814.03,3964.6,463.42,167.91,86.12
15644.75,3997.21,14001.63,1658.84,1482.22,207.71
