Provinsi,Listrik Yang Didistribusikan (GWh)(2020),Listrik Yang Didistribusikan (GWh)(2021),Listrik Yang Didistribusikan (GWh)(2022),Listrik Yang Didistribusikan (GWh)(2023)
Aceh,2937.99,3074.47,3154.01,3458.3
Bali,4946.86,4708.02,5470.51,6354.53
Banten,22268.71,23830.91,26705.67,26971.4
Bengkulu,1013.5,1058.61,1087.22,1155.97
DI Yogyakarta,3012.45,3108.38,3326.61,3564.23
DKI Jakarta,32166.72,32709.3,34578.29,36992.35
Gorontalo,601.58,638.71,674.05,742.22
Jambi,2010.6,2111.92,2234.86,2371.18
Jawa Barat,49542.25,53318.02,56226.11,58564.31
Jawa Tengah,25090.74,26661.16,27564.64,28431.75
Jawa Timur,37613.55,39457.19,40546.88,41886.3
Kalimantan Barat,2715.67,2912.98,3034.85,3308.59
Kalimantan Selatan,2939.0,3050.71,3298.88,3693.87
Kalimantan Tengah,1493.69,1597.89,1688.28,1831.08
Kalimantan Timur,4123.86,4117.44,4287.19,4803.87
Kalimantan Utara,261.82,184.5,192.11,263.04
Kepulauan Bangka Belitung,1217.52,1369.2,1484.13,1610.81
Kepulauan Riau,887.6,3478.63,3889.72,4209.39
Lampung,4959.02,5176.94,5382.48,5761.91
Maluku,548.12,582.88,607.1,633.56
Maluku Utara,591.34,637.04,672.32,1018.52
Nusa Tenggara Barat,2149.42,2290.19,2359.31,2572.6
Nusa Tenggara Timur,1133.48,1160.16,1206.91,1333.25
Papua,1132.4,1237.64,1280.52,1342.39
Papua Barat,547.46,583.21,621.46,667.98
Papua Barat Daya,,,,
Papua Pegunungan,,,,
Papua Selatan,,,,
Papua Tengah,,,,
Riau,4967.05,6108.32,7691.64,8212.56
Sulawesi Barat,423.96,439.49,470.21,518.33
Sulawesi Selatan,5977.48,6597.87,7856.64,8558.03
Sulawesi Tengah,1271.06,1353.85,1420.38,1602.92
Sulawesi Tenggara,1063.52,1149.84,1213.9,1342.95
Sulawesi Utara,1862.28,1940.26,1966.05,2095.38
Sumatera Barat,3429.29,3646.2,3630.43,3810.84
Sumatera Selatan,5312.77,5593.93,5878.31,6278.5
Sumatera Utara,11192.85,11748.4,12059.81,12472.84
Total,241405.61,257634.26,273761.48,288435.75
